From_Token,To_Token,Support
doordie_tackle_fail_Bengal Warriors_vs_U Mumba,doordie_tackle_fail_Bengal Warriors_vs_U Mumba,12
doordie_tackle_fail_Haryana Steelers_vs_U Mumba,doordie_tackle_fail_Haryana Steelers_vs_U Mumba,12
doordie_tackle_fail_Jaipur Pink Panthers_vs_U Mumba,doordie_tackle_fail_Jaipur Pink Panthers_vs_U Mumba,11
doordie_tackle_fail_U.P. Yoddha_vs_U Mumba,doordie_tackle_fail_U.P. Yoddha_vs_U Mumba,10
doordie_tackle_fail_Telugu Titans_vs_U Mumba,doordie_tackle_fail_Telugu Titans_vs_U Mumba,8
doordie_tackle_fail_Tamil Thalaivas_vs_U Mumba,doordie_tackle_fail_Tamil Thalaivas_vs_U Mumba,8
doordie_tackle_fail_Bengaluru Bulls_vs_U Mumba,doordie_tackle_fail_Bengaluru Bulls_vs_U Mumba,5
doordie_tackle_fail_Gujarat Giants_vs_U Mumba,doordie_tackle_fail_Gujarat Giants_vs_U Mumba,5
regular_tackle_fail_Haryana Steelers_vs_U Mumba,doordie_tackle_fail_Haryana Steelers_vs_U Mumba,5
regular_tackle_fail_nan_vs_Gujarat Giants,regular_tackle_fail_nan_vs_Gujarat Giants,5
