From_Token,To_Token,Support
doordie_tackle_fail_Haryana Steelers_vs_Jaipur Pink Panthers,doordie_tackle_fail_Haryana Steelers_vs_Jaipur Pink Panthers,13
doordie_tackle_fail_Puneri Paltan_vs_Jaipur Pink Panthers,doordie_tackle_fail_Puneri Paltan_vs_Jaipur Pink Panthers,9
doordie_tackle_fail_Tamil Thalaivas_vs_Jaipur Pink Panthers,doordie_tackle_fail_Tamil Thalaivas_vs_Jaipur Pink Panthers,8
doordie_tackle_fail_Gujarat Giants_vs_Jaipur Pink Panthers,doordie_tackle_fail_Gujarat Giants_vs_Jaipur Pink Panthers,8
doordie_tackle_fail_Dabang Delhi_vs_Jaipur Pink Panthers,doordie_tackle_fail_Dabang Delhi_vs_Jaipur Pink Panthers,7
doordie_tackle_fail_Telugu Titans_vs_Jaipur Pink Panthers,doordie_tackle_fail_Telugu Titans_vs_Jaipur Pink Panthers,7
doordie_tackle_fail_U.P. Yoddha_vs_Jaipur Pink Panthers,doordie_tackle_fail_U.P. Yoddha_vs_Jaipur Pink Panthers,7
doordie_tackle_fail_Bengaluru Bulls_vs_Jaipur Pink Panthers,doordie_tackle_fail_Bengaluru Bulls_vs_Jaipur Pink Panthers,7
doordie_tackle_fail_Bengal Warriors_vs_Jaipur Pink Panthers,doordie_tackle_fail_Bengal Warriors_vs_Jaipur Pink Panthers,7
doordie_tackle_fail_U Mumba_vs_Jaipur Pink Panthers,doordie_tackle_fail_U Mumba_vs_Jaipur Pink Panthers,5
