From_Token,To_Token,Support
doordie_tackle_fail_U.P. Yoddha_vs_Patna Pirates,doordie_tackle_fail_U.P. Yoddha_vs_Patna Pirates,11
doordie_tackle_fail_Dabang Delhi_vs_Dabang Delhi K.C.,doordie_tackle_fail_Dabang Delhi_vs_Dabang Delhi K.C.,9
doordie_tackle_fail_Bengaluru Bulls_vs_Patna Pirates,doordie_tackle_fail_Bengaluru Bulls_vs_Patna Pirates,9
doordie_tackle_fail_Gujarat Giants_vs_Patna Pirates,doordie_tackle_fail_Gujarat Giants_vs_Patna Pirates,8
doordie_tackle_fail_Bengal Warriors_vs_Patna Pirates,doordie_tackle_fail_Bengal Warriors_vs_Patna Pirates,8
doordie_tackle_fail_Haryana Steelers_vs_Patna Pirates,doordie_tackle_fail_Haryana Steelers_vs_Patna Pirates,6
doordie_tackle_fail_Telugu Titans_vs_Patna Pirates,doordie_tackle_fail_Telugu Titans_vs_Patna Pirates,6
doordie_tackle_fail_U Mumba_vs_Patna Pirates,doordie_tackle_fail_U Mumba_vs_Patna Pirates,5
doordie_tackle_fail_Tamil Thalaivas_vs_Patna Pirates,doordie_tackle_fail_Tamil Thalaivas_vs_Patna Pirates,5
regular_tackle_fail_nan_vs_Puneri Paltan,regular_tackle_fail_nan_vs_Puneri Paltan,5
